mls_id,style,street,city,state,zip_code,beds,full_baths,half_baths,sqft,year_built,days_on_mls,list_price,list_date,sold_price,last_sold_date,lot_sqft,price_per_sqft,latitude,longitude,stories,hoa_fee,parking_garage,livability_score,amenities,commute,cost_of_living,crime,employment,health,housing,schools,ratings
41046954,single family,6  Mastick Ct,Alameda,CA,94501,2.0,1.0,0.0,811.0,1900.0,23.0,649000,2024-01-13,911000.0,2024-02-05,2812.0,1123.0,37.77407,-122.269322,2.0,0.0,1.0,69,F,A+,F,D-,A+,B+,B-,B,D+
41045776,condos,1311  Webster St,Alameda,CA,94501,1.0,1.0,0.0,701.0,1970.0,23.0,395000,2024-01-10,375000.0,2024-02-02,73424.0,535.0,37.770153,-122.276319,1.0,585.0,1.0,69,F,A+,F,D-,A+,B+,B-,B,D+
41045646,townhomes,109  Ironwood Rd,Alameda,CA,94502,3.0,2.0,1.0,1725.0,1979.0,54.0,999000,2023-12-07,1039000.0,2024-01-30,1701.0,602.0,37.73791,-122.244679,2.0,621.0,2.0,69,F,A+,F,D-,A+,B+,B-,B,D+
41043543,single family,1906  High St,Alameda,CA,94501,2.0,1.0,0.0,1115.0,1922.0,64.0,895000,2023-11-23,1025000.0,2024-01-26,4400.0,919.0,37.762695,-122.22663999999999,1.0,0.0,1.0,69,F,A+,F,D-,A+,B+,B-,B,D+
41046658,single family,363  Oleander Ave,Alameda,CA,94502,3.0,2.0,0.0,1626.0,1964.0,21.0,1149999,2024-01-03,1305000.0,2024-01-24,5000.0,803.0,37.729673,-122.23313600000002,1.0,0.0,2.0,69,F,A+,F,D-,A+,B+,B-,B,D+
41036603,condos,950  Shorepoint Ct,Alameda,CA,94501,1.0,1.0,0.0,770.0,1972.0,144.0,479000,2023-09-02,462800.0,2024-01-24,133752.0,601.0,37.762741999999996,-122.27005,1.0,425.0,1.0,69,F,A+,F,D-,A+,B+,B-,B,D+
41046891,single family,1084  Post St,Alameda,CA,94501,2.0,1.0,1.0,1282.0,1942.0,6.0,1000000,2024-01-17,1155000.0,2024-01-23,4366.0,901.0,37.752964,-122.236024,2.0,0.0,1.0,69,F,A+,F,D-,A+,B+,B-,B,D+
41043704,single family,217  Sheffield Rd,Alameda,CA,94502,4.0,2.0,1.0,2256.0,1987.0,70.0,1849000,2023-11-08,1700000.0,2024-01-17,5000.0,754.0,37.74508,-122.25013799999999,2.0,252.0,2.0,69,F,A+,F,D-,A+,B+,B-,B,D+
41030891,condos,2035  Clement Ave,Alameda,CA,94501,2.0,2.0,1.0,1462.0,2023.0,205.0,887900,2023-06-21,898680.0,2024-01-12,640.0,615.0,37.774902000000004,-122.24663500000001,3.0,350.0,2.0,69,F,A+,F,D-,A+,B+,B-,B,D+
41034170,condos,2037  Clement Ave,Alameda,CA,94501,3.0,3.0,1.0,2105.0,2023.0,170.0,1182747,2023-07-26,1182747.0,2024-01-12,640.0,562.0,37.775307,-122.24650600000001,3.0,350.0,2.0,69,F,A+,F,D-,A+,B+,B-,B,D+
223104426,condos,1001  Shoreline Dr,Alameda,CA,94501,2.0,2.0,0.0,1360.0,1970.0,75.0,795000,2023-10-28,810000.0,2024-01-11,39352.0,596.0,37.761863,-122.269581,1.0,575.0,1.0,69,F,A+,F,D-,A+,B+,B-,B,D+
41033655,townhomes,1117  Via Alamosa,Alameda,CA,94502,2.0,1.0,1.0,1188.0,1968.0,174.0,749000,2023-07-20,760000.0,2024-01-10,1500.0,640.0,37.734623,-122.247722,2.0,555.0,2.0,69,F,A+,F,D-,A+,B+,B-,B,D+
41045322,single family,1616  Everett St,Alameda,CA,94501,2.0,1.0,0.0,1060.0,1920.0,35.0,895000,2023-12-01,1050000.0,2024-01-05,2914.0,991.0,37.766065000000005,-122.23845,1.0,0.0,2.0,69,F,A+,F,D-,A+,B+,B-,B,D+
41035367,single family,802  Buena Vista Ave,Alameda,CA,94501,3.0,1.0,0.0,1466.0,1913.0,141.0,599000,2023-08-08,600000.0,2023-12-27,4486.0,409.0,37.776976,-122.272304,1.0,0.0,1.0,69,F,A+,F,D-,A+,B+,B-,B,D+
41042003,townhomes,729  Baywood Rd,Alameda,CA,94502,4.0,2.0,1.0,2018.0,1979.0,68.0,1299000,2023-10-15,1299000.0,2023-12-22,1726.0,644.0,37.739036999999996,-122.24641399999999,2.0,580.0,2.0,69,F,A+,F,D-,A+,B+,B-,B,D+
41043738,single family,1  Avondale Lndg,Alameda,CA,94502,3.0,2.0,0.0,1756.0,1980.0,48.0,1300000,2023-11-04,1600000.0,2023-12-22,4709.0,911.0,37.740829999999995,-122.24280700000001,1.0,227.0,2.0,69,F,A+,F,D-,A+,B+,B-,B,D+
41040493,single family,1561  5th St,Alameda,CA,94501,4.0,1.0,1.0,2225.0,1903.0,85.0,1195000,2023-09-28,1300000.0,2023-12-22,6400.0,584.0,37.775203000000005,-122.28256599999999,2.0,0.0,1.0,69,F,A+,F,D-,A+,B+,B-,B,D+
41044237,single family,1618  Grand St,Alameda,CA,94501,2.0,1.0,0.0,1164.0,1927.0,40.0,895000,2023-11-11,975000.0,2023-12-21,3885.0,838.0,37.773103000000006,-122.254718,2.0,0.0,1.0,69,F,A+,F,D-,A+,B+,B-,B,D+
41043058,single family,1039  San Antonio Ave,Alameda,CA,94501,3.0,2.0,0.0,1513.0,1957.0,41.0,1095000,2023-11-09,1450000.0,2023-12-20,6180.0,958.0,37.769886,-122.26713799999999,1.0,0.0,2.0,69,F,A+,F,D-,A+,B+,B-,B,D+
41042548,single family,1346  Fernside Blvd,Alameda,CA,94501,2.0,2.0,0.0,1402.0,1937.0,59.0,995000,2023-10-20,1250000.0,2023-12-18,3515.0,892.0,37.754889,-122.229522,2.0,0.0,1.0,69,F,A+,F,D-,A+,B+,B-,B,D+
41043575,single family,1249  Otis Dr,Alameda,CA,94501,4.0,2.0,0.0,1311.0,1964.0,46.0,1249000,2023-11-02,1391000.0,2023-12-18,6200.0,1061.0,37.763448,-122.262523,1.0,75.0,2.0,69,F,A+,F,D-,A+,B+,B-,B,D+
41032707,single family,1042  Central Ave,Alameda,CA,94501,4.0,3.0,1.0,2073.0,1896.0,160.0,1125000,2023-07-11,1162350.0,2023-12-18,3750.0,561.0,37.770901,-122.267326,2.0,0.0,1.0,69,F,A+,F,D-,A+,B+,B-,B,D+
41044238,single family,2920  Marina Dr,Alameda,CA,94501,2.0,1.0,1.0,1510.0,1940.0,29.0,998000,2023-11-16,1350000.0,2023-12-15,4956.0,894.0,37.766853999999995,-122.22883999999999,2.0,0.0,1.0,69,F,A+,F,D-,A+,B+,B-,B,D+
41043917,single family,938  Versailles Ave,Alameda,CA,94501,2.0,1.0,1.0,1310.0,1932.0,35.0,998000,2023-11-07,987500.0,2023-12-12,2944.0,754.0,37.755145,-122.24151200000001,2.0,0.0,1.0,69,F,A+,F,D-,A+,B+,B-,B,D+
